"UK3CB_BAF_6Rnd_30mm_L21A1_APDS","30mm APDS"
"UK3CB_ModuleHE81_F","HE, 81mm"
"UK3CB_ModuleHE81Delayed_F","HE, 81mm, 45s"
"UK3CB_ModuleAirburst60_F","Airburst, 60mm"
"UK3CB_ModuleAirburst81_F","Airburst, 81mm"
"UK3CB_ModuleAirburst81Delayed_F","Airburst, 81mm, 45s"
"UK3CB_ModuleJDAM_F","JDAM"
"Type","Ammo"
"UK3CB_ModuleJDAM500_F","JDAM, 500lb"
"UK3CB_ModuleJDAM1000_F","JDAM, 1000lb"
"Item_UK3CB_BAF_Javelin_CLU","Javelin CLU"
"UK3CB_BAF_1Rnd_60mm_Mo_Shells_spent"," "
"UK3CB_BAF_1Rnd_81mm_Mo_Shells_spent"," "
"Weapon_UK3CB_BAF_Tripod","Tripod Static Weapon [BAF]"
"Weapon_UK3CB_BAF_L16_Tripod","Tripod L16 Mortar [BAF]"
"Weapon_UK3CB_BAF_L111A1","L111A1 HMG Static Weapon [BAF]"
"Weapon_UK3CB_BAF_L134A1","L134A1 GMG Static Weapon [BAF]"
"Weapon_UK3CB_BAF_L16","L16 Mortar Static Weapon [BAF]"
"Weapon_UK3CB_BAF_M6","M6 Light Mortar [BAF]"
"UK3CB_BAF_Static_Tripod","Tripod Static Weapon [BAF]"
"MountL7A2OnTripod","Assemble L7A2 Static Weapon"
"MountL7A2FISTOnTripod","Assemble L7A2 FIST Static Weapon"
"MountL111A1OnTripod","Assemble L111A1 Static Weapon"
"MountL134A1OnTripod","Assemble L134A1 Static Weapon"
"EquipTripod","Take Static Weapon Tripod"
"UK3CB_BAF_Static_L16_Tripod","Tripod L16 Mortar [BAF]"
"MountL16OnTripod","Assemble L16 Mortar"
"EquipTripod","Take L16 Mortar Tripod"
"UK3CB_BAF_Static_L7A2_Base","L7A2"
"Disassemble","Disassemble L7A2"
"Resupply","<t color='#ff4040'>Reload L7A2</t>"
"Unload","Unload Ammo from L7A2"
"UK3CB_BAF_Static_L7A2_Low","L7A2 (Low)"
"Raise","Raise L7A2"
"UK3CB_BAF_Static_L7A2_Mid","L7A2 (Mid)"
"Lower","Lower L7A2"
"UK3CB_BAF_Static_L7A2_High","L7A2 (High)"
"Lower","Lower L7A2"
"UK3CB_BAF_Static_L7A2_FIST_Low","L7A2 FIST (Low)"
"Disassemble","Disassemble L7A2 FIST"
"Resupply","<t color='#ff4040'>Reload L7A2 FIST Static Weapon</t>"
"Unload","Unload Ammo from L7A2 FIST"
"Raise","Raise L7A2 FIST"
"UK3CB_BAF_Static_L7A2_FIST_Mid","L7A2 FIST (Mid)"
"Disassemble","Disassemble L7A2 FIST"
"Resupply","<t color='#ff4040'>Reload L7A2 FIST</t>"
"Unload","Unload Ammo from L7A2 FIST"
"Raise","Raise L7A2 FIST"
"Lower","Lower L7A2 FIST"
"UK3CB_BAF_Static_L7A2_FIST_High","L7A2 FIST (High)"
"Disassemble","Disassemble L7A2 FIST"
"Resupply","<t color='#ff4040'>Reload L7A2 FIST</t>"
"Unload","Unload Ammo from L7A2 FIST"
"Lower","Lower L7A2 FIST"
"UK3CB_BAF_Static_L111A1_Base","L111A1"
"Disassemble","Disassemble L111A1"
"Resupply","<t color='#ff4040'>Reload L111A1</t>"
"Unload","Unload Ammo from L111A1"
"UK3CB_BAF_Static_L111A1_Low","L111A1 (Low)"
"Raise","Raise L111A1"
"UK3CB_BAF_Static_L111A1_Mid","L111A1 (Mid)"
"Lower","Lower L111A1"
"UK3CB_BAF_Static_L111A1_High","L111A1 (High)"
"Lower","Lower L111A1"
"UK3CB_BAF_Static_L134A1_Base","L134A1"
"Disassemble","Disassemble L134A1"
"Resupply","<t color='#ff4040'>Reload L134A1</t>"
"Unload","Unload Ammo from L134A1"
"UK3CB_BAF_Static_L134A1_Low","L134A1 (Low)"
"Raise","Raise L134A1"
"UK3CB_BAF_Static_L134A1_Mid","L134A1 (Mid)"
"Lower","Lower L134A1"
"UK3CB_BAF_Static_L134A1_High","L134A1 (High)"
"Lower","Lower L134A1"
"UK3CB_BAF_Static_L16","L16"
"Prepare_HE","<t color='#ff4040'>Prep 81mm HE rounds</t>"
"Prepare_HE_Selected","<t color='#40ff40'>Prep 81mm HE rounds</t>"
"Prepare_Airburst_HE","<t color='#ff4040'>Prep 81mm HE airburst rounds</t>"
"Prepare_Airburst_HE_Selected","<t color='#40ff40'>Prep 81mm HE airburst rounds</t>"
"Prepare_Smoke","<t color='#ff4040'>Prep 81mm smoke rounds</t>"
"Prepare_Smoke_Selected","<t color='#40ff40'>Prep 81mm smoke rounds</t>"
"Prepare_WPSmoke","<t color='#ff4040'>Prep 81mm WP smoke rounds</t>"
"Prepare_WPSmoke_Selected","<t color='#40ff40'>Prep 81mm WP smoke rounds</t>"
"Prepare_Flare","<t color='#ff4040'>Prep 81mm flare rounds</t>"
"Prepare_Flare_Selected","<t color='#40ff40'>Prep 81mm flare rounds</t>"
"Prepare_IR_Flare","<t color='#ff4040'>Prep 81mm IR flare rounds</t>"
"Prepare_IR_Flare_Selected","<t color='#40ff40'>Prep 81mm IR flare rounds</t>"
"Prepare_LaserGuided","<t color='#ff4040'>Prep 81mm laser guided rounds</t>"
"Prepare_LaserGuided_Selected","<t color='#40ff40'>Prep 81mm laser guided rounds</t>"
"Prepare_Guided","<t color='#ff4040'>Prep 81mm guided rounds</t>"
"Prepare_Guided_Selected","<t color='#40ff40'>Prep 81mm guided rounds</t>"
"Impact_fuse","Set impact fuses"
"Proximity_fuse","Set proximity fuses"
"Unload","Unload Ammo from L16"
"Disassemble","Disassemble L16"
"UK3CB_BAF_Static_M6","M6"
"Pickup","Pickup M6"
"Prepare_HE","<t color='#ff4040'>Prep 60mm HE rounds</t>"
"Prepare_HE_Selected","<t color='#40ff40'>Prep 60mm HE rounds</t>"
"Prepare_Airburst_HE","<t color='#ff4040'>Prep 60mm HE airburst rounds</t>"
"Prepare_Airburst_HE_Selected","<t color='#40ff40'>Prep 60mm HE airburst rounds</t>"
"Prepare_Smoke","<t color='#ff4040'>Prep 60mm smoke rounds</t>"
"Prepare_Smoke_Selected","<t color='#40ff40'>Prep 60mm smoke rounds</t>"
"Prepare_WPSmoke","<t color='#ff4040'>Prep 60mm WP smoke rounds</t>"
"Prepare_WPSmoke_Selected","<t color='#40ff40'>Prep 60mm WP smoke rounds</t>"
"Prepare_Flare","<t color='#ff4040'>Prep 60mm flare rounds</t>"
"Prepare_Flare_Selected","<t color='#40ff40'>Prep 60mm flare rounds</t>"
"Impact_fuse","Set impact fuses"
"Proximity_fuse","Set proximity fuses"
"Unload","Unload Ammo from M6"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US","Standard"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US","Standard"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US","Standard"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US","Standard"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"SOV","Soviet Light Gray"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_A","Afghan National Army 02"
"CW_US","Cold War US - Green"
"CW_US_W","Cold War US - Woodland"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"SOV","Soviet"
"uk3cb_enable_randomisation","Enable randomisation"
"SOV","Soviet"
"uk3cb_enable_randomisation","Enable randomisation"
"SOV","Soviet"
"uk3cb_enable_randomisation","Enable randomisation"
"SOV","Soviet"
"uk3cb_enable_randomisation","Enable randomisation"
"SOV","Soviet"
"uk3cb_enable_randomisation","Enable randomisation"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"CPD","Chernarus Police Department"
"TKA","Takistan National Army"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US_W","Cold War US Army - Woodland"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US_W","Cold War US Army - Woodland"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US_W","Cold War US Army - Woodland"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US_W","Cold War US Army - Woodland"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"CW_US_W","Cold War US Army - Woodland"
"TKA","Takistan National Army"
"UN","United Nations"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"CW_US_W","Cold War US Army - Woodland"
"TKA","Takistan National Army"
"UN","United Nations"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_D","Afghan National Army - Desert"
"ABP","Afghan Border Police"
"ANP","Afghan National Police"
"CW_US_W","Cold War US Army - Woodland"
"TKA","Takistan National Army"
"UN","United Nations"
"uk3cb_enable_randomisation","Enable randomisation"
"CW_US_W","Cold War US Army - Woodland"
"UN","United Nations"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_D","Afghan National Army - Desert"
"ABP","Afghan Border Police"
"ANP","Afghan National Police"
"CW_US_W","Cold War US Army - Woodland"
"TKA","Takistan National Army"
"UN","United Nations"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"ANA_D","Afghan National Army - Desert"
"ANP","Afghan National Police"
"CW_US_W","Cold War US Army - Woodland"
"TKA","Takistan National Army"
"UN","United Nations"
"UK3CB_UAZ_Closed_Base","UAZ-3151 (Closed)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANP","Afghan National Police"
"CPD","Chernarus Police Department"
"Cream","Cream"
"Dark_Green","Dark Green"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"TKP","Takistan Police"
"UK3CB_UAZ_Open_Base","UAZ-3151 (Open)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANP","Afghan National Police"
"CPD","Chernarus Police Department"
"Cream","Cream"
"Dark_Green","Dark Green"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"TKP","Takistan Police"
"UK3CB_UAZ_DShKM_Base","UAZ-3151 (DShKM)"
"uk3cb_enable_randomisation","Enable randomisation"
"CPD","Chernarus Police Department"
"Cream","Cream"
"Dark_Green","Dark Green"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"UK3CB_UAZ_AGS30_Base","UAZ-3151 (AGS-30)"
"uk3cb_enable_randomisation","Enable randomisation"
"CPD","Chernarus Police Department"
"Cream","Cream"
"Dark_Green","Dark Green"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"UK3CB_UAZ_SPG9_Base","UAZ-3151 (SPG-9)"
"uk3cb_enable_randomisation","Enable randomisation"
"CPD","Chernarus Police Department"
"Cream","Cream"
"Dark_Green","Dark Green"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"Siren_Start","Siren On"
"Siren_Stop","Siren Off"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_Base","Ural-4320 Base"
"Spare_hide","Hide Spare Wheel"
"Lightcovers_Hide","Hide Light Covers"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_Ammo_Base","Ural-4320 (Ammo)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_Empty_Base","Ural-4320 (Empty)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_Recovery_Base","Ural-4320 (Recovery)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_Repair_Base","Ural-4320 (Repair)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"UK3CB_B_Ural_Repair_CDF","Ural-4320 (Repair Open)"
"UK3CB_I_Ural_Repair_CDF","Ural-4320 (Repair Open)"
"UK3CB_I_G_Ural_Repair_CHK","Ural-4320 (Repair Open)"
"UK3CB_O_G_Ural_Repair_CHK","Ural-4320 (Repair Open)"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_Covered_Base","Ural 4320 (Closed)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_Open_Base","Ural 4320 (Open)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"UK3CB_Ural_Fuel_Base","Ural 4320 (Fuel)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"UK3CB_Ural_Zu23_Base","Ural 4320 (ZU-23)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"Blue_Red","Blue & Red"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"Khaki","Khaki"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Ural_BM21_Base","Ural 4320 (BM-21 Grad)"
"ANA","Afghan National Army"
"Chedaki","Chedaki"
"CDF","Chernarus Defence Force"
"SOV","Soviet"
"SOV2","Soviet Three-Tone"
"TKA","Takistan National Army"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Antonov_An2_Base","Antonov An-2"
"OpenDoor","Open Door"
"CloseDoor","Close Door"
"UK3CB_Antonov_An2","Antonov An-2 (Unarmed)"
"CHERNARUS_AIR","Chernarus Airline"
"GREEN","Green"
"SOV","Soviet"
"TAK_AIR","Takistan Airline"
"TKA","Takistan National Airforce"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Antonov_An2_Armed_Base","Antonov An-2 (Armed)"
"Cannons","Cannons"
"Rockets","Rockets"
"UK3CB_Antonov_An2_Armed","Antonov An-2 (Armed)"
"GREEN","Green"
"SOV","Soviet"
"TKA","Takistan National Airforce"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"CW_US","Cold War US"
"TKA","Takistan National Army"
"US","US"
"UK3CB_Mi24_Base","Mil Mi-24"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Mi24","Mil Mi-24"
"ANA","Afghan National Army"
"CDF","Chernarus Defence Force"
"GREY","Two-Tone Grey Pattern"
"SOV","Soviet Green Camo"
"SOV_2","Soviet Green"
"TKA","Takistan National Army"
"UK3CB_B_Mi24_ANA","Mil Mi-24"
"UK3CB_B_Mi24_TKA","Mil Mi-24"
"UK3CB_B_Mi24_UN","Mil Mi-24"
"UK3CB_I_Mi24_TKA","Mil Mi-24"
"UK3CB_I_Mi24_UN","Mil Mi-24"
"UK3CB_O_Mi24_SOV","Mil Mi-24"
"UK3CB_O_Mi24_TKA","Mil Mi-24"
"UK3CB_Mi24V_Base","Mil Mi-24V"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Mi24V","Mil Mi-24V"
"ANA","Afghan National Army"
"CDF","Chernarus Defence Force"
"GREY","Two-Tone Grey Pattern"
"SOV","Soviet Green Camo"
"SOV_2","Soviet Green"
"TKA","Takistan National Army"
"UK3CB_B_Mi24V_ANA","Mil Mi-24V"
"UK3CB_B_Mi24V_TKA","Mil Mi-24V"
"UK3CB_B_Mi24V_UN","Mil Mi-24V"
"UK3CB_I_Mi24V_TKA","Mil Mi-24V"
"UK3CB_I_Mi24V_UN","Mil Mi-24V"
"UK3CB_O_Mi24V_SOV","Mil Mi-24V"
"UK3CB_O_Mi24V_TKA","Mil Mi-24V"
"UK3CB_Mi8_Base","Mil Mi-8 (Transport)"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Mi8","Mil Mi-8 (Transport)"
"ANA","Afghan National Army"
"CDF","Chernarus Defence Force"
"CPD","Chernarus Police Department"
"GREY","Two-Tone Grey Pattern"
"SOV","Soviet Green Camo"
"SOV_2","Soviet Green"
"TKA","Takistan National Army"
"UK3CB_B_Mi8_ANA","Mil Mi-8 (Transport)"
"UK3CB_B_Mi8_TKA","Mil Mi-8 (Transport)"
"UK3CB_B_Mi8_UN","Mil Mi-8 (Transport)"
"UK3CB_I_Mi8_TKA","Mil Mi-8 (Transport)"
"UK3CB_I_Mi8_UN","Mil Mi-8 (Transport)"
"UK3CB_O_Mi8_SOV","Mil Mi-8 (Transport)"
"UK3CB_O_Mi8_TKA","Mil Mi-8 (Transport)"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Mi8AMT_Base","Mil Mi-8 (Unarmed)"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Mi8AMT","Mil Mi-8 (Unarmed)"
"ANA","Afghan National Army"
"CDF","Chernarus Defence Force"
"CPD","Chernarus Police Department"
"CIV_AIR","Civilian Airline"
"GREY","Two-Tone Grey Pattern"
"TAK_AIR","Takistan Airline"
"SOV","Soviet Green Camo"
"SOV_2","Soviet Green"
"TKA","Takistan National Army"
"UK3CB_C_Mi8AMT","Mil Mi-8 (Unarmed)"
"UK3CB_C_Mi8AMT_TK","Mil Mi-8 (Unarmed)"
"UK3CB_B_Mi8AMT_CPD","Mil Mi-8 (Unarmed)"
"UK3CB_B_Mi8AMT_ANA","Mil Mi-8 (Unarmed)"
"UK3CB_B_Mi8AMT_TKA","Mil Mi-8 (Unarmed)"
"UK3CB_B_Mi8AMT_UN","Mil Mi-8 (Unarmed)"
"UK3CB_I_Mi8AMT_CPD","Mil Mi-8 (Unarmed)"
"UK3CB_I_Mi8AMT_TKA","Mil Mi-8 (Unarmed)"
"UK3CB_I_Mi8AMT_UN","Mil Mi-8 (Unarmed)"
"UK3CB_O_Mi8AMT_CPD","Mil Mi-8 (Unarmed)"
"UK3CB_O_Mi8AMT_SOV","Mil Mi-8 (Unarmed)"
"UK3CB_O_Mi8AMT_TKA","Mil Mi-8 (Unarmed)"
"UK3CB_Mi8AMTsh_Base","Mil Mi-8 (Rockets)"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Mi8AMTsh","Mil Mi-8 (Rockets)"
"ANA","Afghan National Army"
"CDF","Chernarus Defence Force"
"CPD","Chernarus Police Department"
"GREY","Two-Tone Grey Pattern"
"SOV","Soviet Green Camo"
"SOV_2","Soviet Green"
"TKA","Takistan National Army"
"UK3CB_B_Mi8AMTsh_ANA","Mil Mi-8 (Rockets)"
"UK3CB_B_Mi8AMTsh_TKA","Mil Mi-8 (Rockets)"
"UK3CB_B_Mi8AMTsh_UN","Mil Mi-8 (Rockets)"
"UK3CB_I_Mi8AMTsh_TKA","Mil Mi-8 (Rockets)"
"UK3CB_I_Mi8AMTsh_UN","Mil Mi-8 (Rockets)"
"UK3CB_O_Mi8AMTsh_SOV","Mil Mi-8 (Rockets)"
"UK3CB_O_Mi8AMTsh_TKA","Mil Mi-8 (Rockets)"
"UK3CB_Su25SM_Base","Su-25SM"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Su25SM","Su-25SM"
"SOV","Soviet Air Force"
"TKA","Takistan National Army"
"UK3CB_Su25SM_KH29_Base","Su-25SM KH29"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Su25SM_KH29","Su-25SM (KH29)"
"SOV","Soviet Air Force"
"TKA","Takistan National Army"
"UK3CB_Su25SM_CAS_Base","Su-25SM (CAS)"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Su25SM_CAS","Su-25SM (CAS)"
"SOV","Soviet Air Force"
"TKA","Takistan National Army"
"UK3CB_Su25SM_Cluster_Base","Su-25SM (Cluster)"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_Su25SM_Cluster","Su-25SM (Cluster)"
"SOV","Soviet Air Force"
"TKA","Takistan National Army"
"UK3CB_B_Su25SM_TKA","Su-25SM"
"UK3CB_B_Su25SM_KH29_TKA","Su-25SM (KH29)"
"UK3CB_B_Su25SM_CAS_TKA","Su-25SM (CAS)"
"UK3CB_B_Su25SM_Cluster_TKA","Su-25SM (Cluster)"
"UK3CB_I_Su25SM_TKA","Su-25SM"
"UK3CB_I_Su25SM_KH29_TKA","Su-25SM (KH29)"
"UK3CB_I_Su25SM_CAS_TKA","Su-25SM (CAS)"
"UK3CB_I_Su25SM_Cluster_TKA","Su-25SM (Cluster)"
"UK3CB_O_Su25SM_SOV","Su-25SM"
"UK3CB_O_Su25SM_KH29_SOV","Su-25SM (KH29)"
"UK3CB_O_Su25SM_CAS_SOV","Su-25SM (CAS)"
"UK3CB_O_Su25SM_Cluster_SOV","Su-25SM (Cluster)"
"UK3CB_O_Su25SM_TKA","Su-25SM"
"UK3CB_O_Su25SM_KH29_TKA","Su-25SM (KH29)"
"UK3CB_O_Su25SM_CAS_TKA","Su-25SM (CAS)"
"UK3CB_O_Su25SM_Cluster_TKA","Su-25SM (Cluster)"
"UK3CB_UH1H_M240_Base","UH1H Armed Base"
"uk3cb_enable_randomisation","Enable randomisation"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_UH1H_M240","Huey UH-1H"
"ANA","Afghan National Army"
"BLACK","Black"
"GREY","Grey"
"IAF","Iraqi"
"OLIVE","Olive"
"TKA","Takistan National Airforce"
"US","US"
"UK3CB_B_UH1H_M240_ANA","UH-1H Huey (Armed)"
"UK3CB_B_UH1H_M240_US","UH-1H Huey (Armed)"
"UK3CB_B_UH1H_M240_IAF","UH-1H Huey (Armed)"
"UK3CB_B_UH1H_M240_TKA","UH-1H Huey (Armed)"
"UK3CB_B_UH1H_M240_UN","UH-1H Huey (Armed)"
"UK3CB_I_UH1H_M240_TKA","UH-1H Huey (Armed)"
"UK3CB_O_UH1H_M240_TKA","UH-1H Huey (Armed)"
"UK3CB_I_UH1H_M240_UN","UH-1H Huey (Armed)"
"UK3CB_B_G_UH1H_M240_FIA","UH-1H Huey (Armed)"
"UK3CB_I_G_UH1H_M240_FIA","UH-1H Huey (Armed)"
"UK3CB_O_G_UH1H_M240_FIA","UH-1H Huey (Armed)"
"uk3cb_enable_randomisation","Enable randomisation"
"UK3CB_UH1H_Base","UH-1H Huey (Unarmed)"
"OpenRdoorOut","Open Right Door"
"CloseRdoorOut","Close Right Door"
"OpenLdoorOut","Open Left Door"
"CloseLdoorOut","Close Left Door"
"UK3CB_UH1H","UH-1H Huey (Unarmed)"
"uk3cb_enable_randomisation","Enable randomisation"
"ANA","Afghan National Army"
"BLACK","Black"
"GREY","Grey"
"IAF","Iraqi"
"OLIVE","Olive"
"TKA","Takistan National Airforce"
"US","US"
"UK3CB_B_UH1H_ANA","UH-1H Huey (Unarmed)"
"UK3CB_B_UH1H_US","UH-1H Huey (Unarmed)"
"UK3CB_B_UH1H_IAF","UH-1H Huey (Unarmed)"
"UK3CB_B_UH1H_TKA","UH-1H Huey (Unarmed)"
"UK3CB_I_UH1H_TKA","UH-1H Huey (Unarmed)"
"UK3CB_O_UH1H_TKA","UH-1H Huey (Unarmed)"
"UK3CB_B_UH1H_UN","UH-1H Huey (Unarmed)"
